Country,Count
United States,567
Brazil,485
Germany,441
Australia,431
France,410
China,404
United Kingdom,374
Japan,346
Canada,321
Spain,313
Italy,312
Russia,286
Netherlands,249
Poland,242
Argentina,223
South Korea,213
New Zealand,208
Ukraine,205
Sweden,164
Hungary,154
Colombia,154
South Africa,146
Denmark,128
Mexico,126
Belarus,124
India,123
Cuba,123
Egypt,122
Belgium,108
Czech Republic,104
Switzerland,104
Kazakhstan,103
Serbia,103
Turkey,103
Romania,98
Portugal,95
Greece,93
Venezuela,88
Croatia,88
Ireland,80
Kenya,80
,78
Austria,71
Uzbekistan,70
Algeria,68
Lithuania,67
Islamic Republic of Iran,64
Slovenia,63
Norway,62
Tunisia,61
Jamaica,57
Chinese Taipei,56
Azerbaijan,56
Finland,54
Fiji,54
Thailand,54
Slovakia,51
Bulgaria,50
Morocco,49
,47
Estonia,46
Mongolia,43
Chile,42
Puerto Rico,40
Georgia,40
Qatar,39
Ethiopia,38
Ecuador,38
"Hong Kong, China",38
Zimbabwe,35
Montenegro,35
Brunei Darussalam,34
Malaysia,32
Trinidad and Tobago,32
Armenia,32
Latvia,32
Democratic People's Republic of Korea,31
Bahamas,30
Honduras,30
Peru,29
Dominican Republic,29
Indonesia,28
Angola,26
Iraq,26
Singapore,25
Cameroon,24
Viet Nam,23
Moldova,23
Senegal,22
Uganda,21
Guatemala,21
Kyrgyzstan,19
Uruguay,17
Cyprus,16
Ghana,16
Philippines,13
United Arab Emirates,13
Eritrea,12
C̫te d'Ivoire,12
Botswana,12
Bolivia,12
Costa Rica,11
Saudi Arabia,11
Barbados,11
Bosnia and Herzegovina,11
Paraguay,11
Mauritius,11
Luxembourg,10
Congo,10
Haiti,10
Refugee Olympic Team,10
Panama,10
Seychelles,10
Namibia,10
Turkmenistan,9
Cook Islands,9
Burundi,9
Antigua and Barbuda,9
Sri Lanka,9
Lebanon,9
Independent Olympic Athletes,9
Bermuda,8
El Salvador,8
Iceland,8
Lesotho,8
Jordan,8
Samoa,8
Papua New Guinea,8
Kosovo,8
Myanmar,7
Tanzania,7
Tonga,7
"Virgin Islands, U.S.",7
Bangladesh,7
Aruba,7
Rwanda,7
Syrian Arab Republic,7
Djibouti,7
Grenada,7
Saint Kitts and Nevis,7
Nepal,7
Pakistan,7
Zambia,7
Tajikistan,7
Libya,7
Malta,7
Mozambique,6
Central African Republic,6
Nigeria,6
Suriname,6
Benin,6
Cambodia,6
Sudan,6
Albania,6
Gabon,6
Lao People's Democratic Republic,6
North Macedonia,6
Guyana,6
Palestine,6
Madagascar,6
Mali,6
Cape Verde,5
Togo,5
Nicaragua,5
Marshall Islands,5
Guinea-Bissau,5
Andorra,5
Palau,5
Cayman Islands,5
Burkina Faso,5
Guam,5
San Marino,5
Saint Lucia,5
Guinea,5
Malawi,5
Micronesia (Federated States of),5
Comoros,4
Maldives,4
American Samoa,4
Vanuatu,4
British Virgin Islands,4
Oman,4
Saint Vincent and the Grenadines,4
Sierra Leone,4
Democratic Republic of the Congo,4
The Gambia,4
Sao Tome and Principe,3
Monaco,3
Timor-Leste,3
Liechtenstein,3
South Sudan,3
Yemen,3
Kiribati,3
Belize,3
Afghanistan,3
Brunei,3
Solomon Islands,3
Swaziland,2
Somalia,2
Nauru,2
Dominica,2
Bhutan,2
Liberia,2
Equatorial Guinea,2
Montenegro,2
Chad,2
Tuvalu,1
